Date,Open,High,Low,Close,Adj Close,Volume,Google Trends
8/7/2008,30.59,30.959999,30.16,30.309999,17.220144,31064300,69
8/8/2008,30.42,31.16,30.32,30.969999,17.59511,36738000,46
8/11/2008,30.969999,31.879999,30.959999,31.84,18.089388,26786600,46
8/12/2008,31.940001,31.950001,31.5,31.65,17.981443,23567500,48
8/13/2008,31.52,31.610001,30.84,31.299999,17.782597,21990900,43
8/14/2008,31.15,31.48,30.629999,31.120001,17.680332,24677300,44
8/15/2008,31.18,31.92,31.16,31.66,17.987122,21949200,45
8/18/2008,31.77,32.18,31.209999,31.4,17.839411,18501200,75
8/19/2008,31.27,31.32,30.610001,30.799999,17.498528,17668400,47
8/20/2008,30.959999,31.01,30.389999,30.690001,17.436037,20968800,46
8/21/2008,30.459999,30.860001,30.32,30.76,17.475803,15795500,33
8/22/2008,30.9,31.469999,30.76,31.17,17.708744,18071100,47
8/25/2008,31.030001,31.07,30.41,30.52,17.339449,15946300,31
8/26/2008,30.5,30.709999,30.25,30.620001,17.396271,19235000,80
8/27/2008,30.709999,31.379999,30.5,31.200001,17.725786,18922300,34
8/28/2008,31.4,32.400002,31.4,32.23,18.310965,27859500,44
8/29/2008,32.009998,32.810001,31.99,31.99,18.174612,31327200,43
9/2/2008,32.529999,33.150002,32.080002,32.25,18.32233,29280800,46
9/3/2008,32.119999,32.68,32.099998,32.419998,18.418909,19535100,30
9/4/2008,32.25,32.599998,31.52,31.58,17.941677,29933100,91
9/5/2008,31.360001,31.74,31.02,31.5,17.896227,22855300,92
9/8/2008,32.130001,32.68,31.559999,32.549999,18.492767,29628100,66
9/9/2008,32.369999,33.099998,32.259998,32.549999,18.492767,39611700,43
9/10/2008,32.490002,32.490002,31.49,31.549999,17.924627,30306300,43
9/11/2008,31.25,31.610001,30.65,31.559999,17.930315,27766200,32
9/12/2008,31.379999,31.57,30.690001,31.540001,17.918949,23375100,89
9/15/2008,30.73,31.120001,29.959999,29.959999,17.021297,36093800,60
9/16/2008,29.57,30.290001,29.08,29.879999,16.975849,42645600,61
9/17/2008,29.41,29.639999,28.25,28.799999,16.362261,53769200,42
9/18/2008,28.879999,29.68,27.51,29.08,16.521338,55379500,0
9/19/2008,30.66,31.18,29.25,30.43,17.288321,44183200,0
9/22/2008,30.459999,30.5,28.9,29.209999,16.5952,27506800,44
9/23/2008,29.290001,29.93,28.65,28.75,16.333853,26791000,58
9/24/2008,29.01,29.17,28.27,28.98,16.464531,23577100,48
9/25/2008,29.24,30.549999,29.059999,30.07,17.08379,32768900,74
9/26/2008,29.6,30.1,29.41,30,17.04402,24635700,62
9/29/2008,29.629999,30,27.559999,27.75,15.765719,42345100,39
9/30/2008,28.35,29.02,27.92,27.92,15.862306,45946700,0
10/1/2008,28.15,28.49,27.049999,28.09,15.958891,37712600,58
10/2/2008,28.200001,28.59,27.65,27.969999,15.890708,32509100,100
10/3/2008,28.25,29.370001,27.860001,28.120001,15.975935,42475700,43
10/6/2008,27.48,27.82,26,26.860001,15.260085,53354600,79
10/7/2008,27.4,27.799999,25.719999,25.74,14.623773,43511200,52
10/8/2008,25.02,26.129999,23.950001,24.73,14.271736,65698600,0
10/9/2008,24.82,25.219999,22.52,23,13.273353,59864600,59
10/10/2008,22.139999,24.82,20.9,22.42,12.938634,80121000,38
10/13/2008,23.27,26.129999,23.01,26.07,15.045057,51210300,48
10/14/2008,27.559999,28.51,26.049999,26.68,15.39709,49659400,58
10/15/2008,26,26.120001,24.57,24.620001,14.208263,47763900,30
10/16/2008,24.91,25.75,23.91,25.459999,14.693028,51195900,42
10/17/2008,24.9,26.75,24.5,25.290001,14.594921,42494600,53
10/20/2008,25.68,27.08,25.290001,26.99,15.575991,35154200,40
10/21/2008,26.780001,27.17,25.42,25.73,14.848839,32938100,29
10/22/2008,25,25.35,23,23.780001,13.723497,48232700,87
10/23/2008,23.860001,25.799999,23.85,25.26,14.577605,54898900,39
10/24/2008,23.120001,25.620001,23.110001,24.68,14.242887,46490000,71
10/27/2008,24.59,25.5,24,24.389999,14.075526,34125000,63
10/28/2008,25.09,27.83,24.92,27.610001,15.933796,51075900,79
10/29/2008,27.530001,28,26.35,26.9,15.524052,46814700,56
10/30/2008,27.790001,28,26.450001,27.1,15.639467,31707500,55
10/31/2008,26.940001,28.299999,26.77,26.77,15.449023,43585300,65
11/3/2008,26.870001,28.209999,26.85,27.809999,16.049217,25954400,76
11/4/2008,28.549999,29.91,28.43,29.280001,16.897554,39444700,67
11/5/2008,28.799999,28.9,27,27.15,15.668324,33995600,45
11/6/2008,26.92,27.59,25.73,25.99,14.998889,35549700,53
11/7/2008,26.219999,27.200001,26.219999,27,15.581758,28701700,100
11/10/2008,27.780001,28.1,26.969999,27.469999,15.852998,24611600,43
11/11/2008,27.280001,28.1,26.91,27.33,15.772204,26618400,41
11/12/2008,26.879999,27.25,26,26.18,15.108541,28552400,48
11/13/2008,26.120001,28.74,25.75,28.67,16.545521,45718400,35
11/14/2008,28.02,28.99,26.57,27.65,15.956879,38959900,32
11/17/2008,27.32,27.530001,26.41,26.77,15.449023,31965200,28
11/18/2008,26.549999,27.27,25.5,26.57,15.333609,45527900,35
11/19/2008,26.5,26.889999,25.110001,25.23,14.56029,35461900,30
11/20/2008,24.91,26.68,24.15,24.51,14.144776,57113200,30
11/21/2008,25.049999,25.35,23.32,25.190001,14.537202,57855900,32
11/24/2008,25.77,27.75,25.75,26.940001,15.547139,54986100,36
11/25/2008,27.629999,27.9,25.58,27.290001,15.749119,43187500,35
11/26/2008,26.639999,28.67,26.389999,28.389999,16.383934,39462000,52
11/28/2008,28.190001,28.719999,28.1,28.559999,16.48204,16044400,30
12/1/2008,28,28.07,26.9,26.959999,15.558672,36892700,42
12/2/2008,27.34,28.25,27.200001,28.040001,16.181952,36969500,25
12/3/2008,27.41,29.370001,27.299999,29.08,16.782133,42681000,22
12/4/2008,28.290001,29.639999,27.65,28.17,16.256968,44983000,38
12/5/2008,27.629999,28.84,26.969999,28.15,16.245426,51201500,28
12/8/2008,28.9,30.65,28.84,29.98,17.301523,45880900,30
12/9/2008,29.83,30.18,28.76,29.16,16.828304,39560600,38
12/10/2008,29.360001,29.68,27.629999,28.08,16.205032,44502100,29
12/11/2008,27.65,28.51,27.51,27.940001,16.124235,38939000,30
12/12/2008,27.42,28.469999,27.280001,28.18,16.262735,32808600,37
12/15/2008,27.65,27.940001,26.57,27.129999,15.656787,42601000,35
12/16/2008,27.25,28.4,27.059999,28.23,16.291597,44733600,43
12/17/2008,28.01,28.700001,27.540001,28.120001,16.228117,30397800,33
12/18/2008,28.4,28.85,27.5,27.719999,15.997275,33177300,36
12/19/2008,28,28.459999,27.5,28.120001,16.228117,48656700,32
12/22/2008,28.139999,28.65,27.530001,28.129999,16.233887,24553200,39
12/23/2008,28.27,28.549999,27.610001,27.719999,15.997275,21580800,31
12/24/2008,27.780001,28.07,27.700001,27.83,16.060757,6821400,33
12/26/2008,27.98,28.129999,27.780001,27.940001,16.124235,8195100,35
12/29/2008,28.02,28.08,27.32,27.860001,16.078074,17102000,32
12/30/2008,27.9,28.23,27.469999,28.23,16.291597,20614900,41
12/31/2008,28.190001,28.879999,27.85,28.5,16.447416,20764700,34
1/2/2009,28.74,29.459999,28.43,29.42,16.978348,21879800,23
1/5/2009,28.799999,28.889999,28.059999,28.43,16.407017,32414700,34
1/6/2009,28.51,28.700001,28,28.299999,16.331993,28746100,32
1/7/2009,27.65,27.65,27,27.209999,15.933794,30532700,43
1/8/2009,26.92,27.35,26.82,27.18,15.916226,21431200,33
1/9/2009,27.16,27.440001,26.59,26.68,15.623433,30941600,31
1/12/2009,26.73,26.950001,25.719999,25.940001,15.190102,34301100,45
1/13/2009,25.879999,26.030001,25.309999,25.99,15.219381,31596000,38
1/14/2009,25.610001,25.75,25.01,25.41,14.879742,35365400,69
1/15/2009,25.280001,25.34,23.9,25.120001,14.709922,43214400,49
1/16/2009,25.870001,25.950001,24.879999,25.23,14.774337,33338600,31
1/20/2009,25.18,25.75,24.879999,25.02,14.65136,34309600,30
1/21/2009,25.219999,25.809999,25.120001,25.790001,15.102267,38034600,70
1/22/2009,25.18,25.9,24.969999,25.51,14.938302,30169400,57
1/23/2009,25.07,26.32,24.76,26.120001,15.295508,34115600,53
1/26/2009,25.91,27.110001,25.91,26.83,15.711275,36092300,70
1/27/2009,26.02,26.459999,25.700001,25.93,15.184247,34692600,36
1/28/2009,25.25,26.379999,24.77,25.91,15.172538,56239500,47
1/29/2009,25.540001,25.540001,24.33,24.709999,14.469831,44475100,43
1/30/2009,24.77,24.950001,24.25,24.620001,14.41713,38075300,49
2/2/2009,24.969999,25.440001,24.48,25.16,14.73334,27045300,47
2/3/2009,25.440001,25.6,24.780001,25.370001,14.856319,31427100,50
2/4/2009,25.52,25.940001,24.4,24.66,14.440545,35628200,37
2/5/2009,24.57,25.49,24.41,25.15,14.727486,29736300,56
2/6/2009,25.18,26.379999,25.16,26.08,15.272083,30843100,41
2/9/2009,26.120001,26.23,25.700001,25.889999,15.160818,22255100,61
2/10/2009,25.700001,25.99,24.4,24.559999,14.381992,38130200,53
2/11/2009,24.879999,24.879999,24.15,24.440001,14.311723,26144000,100
2/12/2009,24.17,24.41,23.52,24.290001,14.223885,40520300,43
2/13/2009,24.309999,24.75,24.15,24.190001,14.165323,23517600,41
2/17/2009,23.620001,23.85,22.99,23.219999,13.59731,38112000,48
2/18/2009,23.35,23.4,22.75,22.959999,13.44505,28523800,35
2/19/2009,23.26,23.629999,23.110001,23.190001,13.579743,28024600,32
2/20/2009,23.129999,23.940001,22.9,23.58,13.808117,39915900,28
2/23/2009,23.799999,23.950001,22.530001,22.68,13.28109,36406000,35
2/24/2009,22.690001,23.41,22.299999,23.25,13.614876,39478800,30
2/25/2009,23.459999,24.120001,23.15,23.709999,13.884243,61244800,30
2/26/2009,24.049999,24.41,23.83,24.09,14.106769,41741600,32
2/27/2009,23.440001,24.139999,23.33,23.77,13.91938,37716700,36
3/2/2009,22.799999,23.83,21.440001,23.040001,13.491903,43542100,35
3/3/2009,23.15,23.879999,22.33,22.67,13.275236,48163400,52
3/4/2009,23.07,23.43,22.549999,23,13.46848,37300600,30
3/5/2009,22.559999,23.459999,22.18,22.559999,13.21082,48618600,42
3/6/2009,22.77,23.41,21.82,22.58,13.22253,47881200,25
3/9/2009,22.09,22.780001,21.620001,21.719999,12.718927,38643300,22
3/10/2009,22.1,23.09,21.93,23.02,13.480192,44400200,38
3/11/2009,23.24,23.639999,22.950001,23.35,13.67343,33882600,28
3/12/2009,23.49,24.43,23.280001,24.35,14.25902,39954500,30
3/13/2009,24.629999,24.75,23.860001,24.27,14.212173,27803200,38
3/16/2009,24.5,24.870001,24.35,24.360001,14.264874,29189500,29
3/17/2009,24.33,25.48,24.059999,25.370001,14.856319,37695200,30
3/18/2009,25.25,26.25,25.110001,25.700001,15.049562,37357300,37
3/19/2009,26.049999,26.09,25.190001,25.6,14.991,32987500,35
3/20/2009,25.84,26.129999,25.23,25.33,14.832895,46474300,43
3/23/2009,25.940001,26.959999,25.709999,26.92,15.76398,43655000,33
3/24/2009,26.629999,26.85,26.200001,26.33,15.418481,27414200,36
3/25/2009,26.469999,26.59,25.639999,26.18,15.330647,39049300,32
3/26/2009,26.379999,26.57,25.6,26.35,15.430194,35361500,39
3/27/2009,25.940001,26.299999,25.799999,26,15.225239,22141400,31
3/30/2009,25.49,25.690001,24.879999,25.16,14.73334,30121300,33
3/31/2009,25.440001,25.59,25.1,25.200001,14.756766,36371300,35
4/1/2009,24.77,26.09,24.77,25.92,15.178394,28587200,32
4/2/2009,26.5,27.09,26.02,26.540001,15.541454,34390700,41
4/3/2009,26.719999,26.969999,26.530001,26.83,15.711275,25397200,34
4/6/2009,26.4,26.65,26.049999,26.59,15.570732,26659400,23
4/7/2009,25.77,25.84,25.290001,25.530001,15.184139,25641400,34
4/8/2009,25.4,25.77,25.1,25.389999,15.100878,24619300,32
4/9/2009,25.700001,26.299999,25.66,26.1,15.523151,28114700,43
4/13/2009,25.93,26.23,25.58,26.02,15.47557,20062700,33
4/14/2009,25.799999,25.799999,25.23,25.280001,15.035457,28959500,31
4/15/2009,25.33,25.67,25.25,25.450001,15.136563,26884500,75
4/16/2009,25.65,26.290001,25.4,25.99,15.45773,32196800,35
4/17/2009,26.280001,26.48,25.83,25.950001,15.43394,38768500,34
4/20/2009,25.65,25.950001,25.139999,25.290001,15.041395,27395300,58
4/21/2009,25.200001,25.43,24.98,25.280001,15.035457,31561600,41
4/22/2009,25.799999,26.43,25.459999,25.74,15.309043,50205600,0
4/23/2009,26,26.02,25.24,25.5,15.166297,31435600,30
4/24/2009,25.559999,25.76,25,25.16,14.964077,28151000,23
4/27/2009,25.200001,25.440001,24.9,25.309999,15.053293,27429900,45
4/28/2009,25.200001,25.98,25,25.65,15.255511,26093400,30
4/29/2009,25.9,26.09,25.35,25.52,15.178194,33417200,47
4/30/2009,25.83,25.950001,25.34,25.620001,15.237662,32452800,32
5/1/2009,25.879999,26.01,25.459999,26.01,15.469624,22080500,31
5/4/2009,26.110001,26.73,26.110001,26.690001,15.874055,27262100,44
5/5/2009,26.51,26.75,26.35,26.5,15.761056,19289800,45
5/6/2009,26.639999,26.780001,26.27,26.690001,15.874055,24744600,30
5/7/2009,26.200001,26.42,25.33,25.450001,15.136563,53202900,58
5/8/2009,25.700001,25.83,25.059999,25.25,15.017608,41608900,35
5/11/2009,25.219999,25.629999,25.07,25.360001,15.083034,25613100,48
5/12/2009,25.49,25.9,25.309999,25.73,15.303093,23279000,31
5/13/2009,25.4,25.74,25.120001,25.24,15.011662,22668500,30
5/14/2009,25.42,25.42,24.9,24.98,14.857021,30646700,37
5/15/2009,25.09,25.209999,24.620001,24.879999,14.797543,26496700,33
5/18/2009,25.02,25.16,24.459999,24.59,14.625071,36769400,46
5/19/2009,24.75,24.84,24.629999,24.67,14.672652,24914600,100
5/20/2009,24.860001,24.860001,24.09,24.129999,14.351481,37882000,26
5/21/2009,23.98,24.25,23.450001,23.67,14.077893,30920300,0
5/22/2009,23.59,23.93,23.379999,23.68,14.083842,23530700,44
5/26/2009,23.799999,24.57,23.610001,24.51,14.577492,32507500,34
5/27/2009,24.440001,24.75,23.969999,24.07,14.315798,25870500,47
5/28/2009,24.219999,24.83,24.01,24.629999,14.648859,26422300,43
5/29/2009,24.73,24.790001,24.24,24.790001,14.74402,25233700,49
6/1/2009,24.969999,25.110001,24.559999,24.639999,14.65481,27941800,47
6/2/2009,24.709999,24.98,24.57,24.84,14.773756,29322900,50
6/3/2009,24.67,24.940001,24.280001,24.459999,14.54775,34404800,37
6/4/2009,24.639999,24.77,24.24,24.360001,14.488273,32978000,56
6/5/2009,24.6,24.75,24.440001,24.559999,14.607227,25765300,41
6/8/2009,24.219999,24.57,24.030001,24.4,14.512065,29625800,61
6/9/2009,24.440001,24.58,24.120001,24.209999,14.399061,30352600,53
6/10/2009,24.32,24.440001,24.139999,24.280001,14.440698,33411000,100
6/11/2009,24.360001,25,24.299999,24.790001,14.74402,35597300,43
6/12/2009,24.65,25.049999,24.59,25.01,14.874868,27039800,41
6/15/2009,24.780001,24.92,24.35,24.629999,14.648859,31969100,48
6/16/2009,24.360001,24.549999,24.09,24.219999,14.405012,30526700,35
6/17/2009,24.26,24.440001,24.1,24.139999,14.357428,28055800,32
6/18/2009,24.129999,24.360001,23.98,24.129999,14.351481,28695600,28
6/19/2009,24.309999,24.370001,23.809999,24.040001,14.297952,42416300,35
6/22/2009,23.92,24.23,23.83,24.15,14.363376,39821900,30
6/23/2009,24.23,24.780001,24.1,24.66,14.666699,41863100,30
6/24/2009,24.83,24.98,24.52,24.65,14.660754,27201200,32
6/25/2009,24.5,25.01,24.48,24.85,14.779705,31696800,36
6/26/2009,24.77,24.9,24.610001,24.82,14.761858,19882000,35
6/29/2009,24.889999,25.27,24.84,25.219999,14.999766,22878000,52
6/30/2009,25.139999,25.17,24.65,24.84,14.773756,28441600,30
7/1/2009,24.940001,25.200001,24.85,25.07,14.910549,22519000,42
7/2/2009,24.99,24.99,24.469999,24.59,14.625071,27003700,25
7/6/2009,24.549999,24.889999,24.450001,24.799999,14.749961,25566200,50
7/7/2009,24.860001,24.860001,24.25,24.33,14.470436,23763400,37
7/8/2009,24.15,24.16,23.33,23.540001,14.24055,34086400,56
7/9/2009,23.66,23.690001,23.33,23.379999,14.143763,25462800,41
7/10/2009,23.33,23.5,23.190001,23.440001,14.180054,21822100,61
7/13/2009,23.530001,23.83,23.26,23.77,14.379685,25730700,53
7/14/2009,23.700001,23.809999,23.27,23.450001,14.186104,27101800,100
7/15/2009,23.59,24,23.559999,23.969999,14.500675,25683100,43
7/16/2009,23.9,23.98,23.65,23.709999,14.343388,30285900,41
7/17/2009,23.82,23.99,23.620001,23.98,14.50673,25912700,48
7/20/2009,24.129999,24.459999,24,24.42,14.772907,24105100,35
7/21/2009,24.559999,24.77,24.389999,24.57,14.863648,24142700,32
7/22/2009,24.690001,24.99,24.52,24.84,15.026985,30913300,28
7/23/2009,25.030001,25.950001,25.01,25.48,15.414155,55032700,35
7/24/2009,25.27,25.610001,25.25,25.450001,15.396009,25717200,30
7/27/2009,25.65,25.76,25.360001,25.73,15.565394,26250800,30
7/28/2009,25.620001,25.799999,25.389999,25.52,15.438354,24557400,32
7/29/2009,25.459999,25.969999,25.4,25.950001,15.698483,27078300,36
7/30/2009,26.200001,26.6,26.1,26.34,15.934414,31404500,35
7/31/2009,26.34,26.4,25.870001,26.23,15.867868,27379200,52
8/3/2009,26.700001,26.9,25.879999,26.23,15.867868,34187900,30
8/4/2009,26.34,26.459999,26.02,26.27,15.892069,19863100,42
8/5/2009,26.370001,26.389999,25.6,25.73,15.565394,42977800,25
