Date,Open,High,Low,Close,Adj Close,Volume,Google Trends
8/7/2008,68.449997,68.5,67.800003,67.949997,49.373024,5769500,58
8/8/2008,67.940002,69.459999,67.849998,69.349998,50.390259,8564700,69
8/11/2008,69.349998,69.480003,68.760002,69.269997,50.332142,6004500,48
8/12/2008,69.400002,69.849998,68.949997,69.620003,50.586456,5342300,43
8/13/2008,69.349998,70.129997,69.209999,69.739998,50.673649,6085800,44
8/14/2008,69.769997,70.830002,69.129997,69.940002,50.818974,5605200,45
8/15/2008,70.199997,70.43,69.769997,70.199997,51.007881,5637500,75
8/18/2008,70.459999,70.650002,69.550003,69.809998,50.724503,4405300,33
8/19/2008,69.400002,70.489998,69.230003,70.099998,50.935246,6164700,47
8/20/2008,70.370003,70.370003,69.400002,69.849998,50.753574,4082700,31
8/21/2008,69.510002,69.660004,68.650002,69.389999,50.419331,5647400,80
8/22/2008,69.559998,70.199997,69.389999,69.900002,50.789902,3392300,34
8/25/2008,69.599998,69.900002,68.75,69.050003,50.172283,3999000,46
8/26/2008,69.150002,69.309998,68.459999,68.699997,49.917973,4386200,30
8/27/2008,68.580002,69.209999,68.260002,69.199997,50.281292,2960100,91
8/28/2008,69.370003,69.459999,68.879997,69.190002,50.273998,3326100,92
8/29/2008,69.18,69.480003,68.43,68.480003,49.758125,4206100,66
9/2/2008,68.889999,70.550003,68.860001,69.459999,50.470196,6397600,89
9/3/2008,68.949997,69.300003,68.480003,69.190002,50.583504,5213300,60
9/4/2008,68.989998,69.830002,68.300003,68.389999,49.99865,5859800,61
9/5/2008,68.139999,69.150002,68.139999,68.919998,50.386108,6165000,42
9/8/2008,69.220001,70.529999,69.220001,70.339996,51.424259,6948600,44
9/9/2008,69.970001,71.379997,69.970001,71,51.906784,11337400,58
9/10/2008,71.260002,71.989998,70.419998,71.830002,52.513577,10297000,48
9/11/2008,71.529999,72.690002,71.029999,72.620003,53.091137,8129000,74
9/12/2008,72.220001,73.199997,72.059998,73.150002,53.4786,6930500,62
9/15/2008,72.080002,73.559998,72.080002,72.349998,52.893719,9174500,58
9/16/2008,71.410004,73.199997,71.410004,72.980003,53.354305,11410800,100
9/17/2008,72.629997,73.5,71.529999,71.68,52.403908,13533800,43
